aDate;target_name;target_ticker;buyer_name;buyer_ticker
14.10.10;MAC Services Group Ltd;MSL.AX^A11;Oil States International Inc;OIS
01.11.10;Wilmington Trust Corp, Wilmington,Delaware;WL^E11;M&T Bank Corp;MTB
09.11.10;Atlas Energy Inc;ATLS.O^B11;Chevron Corp;CVX
15.11.10;Isilon Systems Inc;ISLN.O^L10;EMC Corp;EMC^I16
15.11.10;Bucyrus International Inc;BUCY.O^G11;Caterpillar Inc;CAT
17.11.10;Ladish Co Inc;LDSH.O^E11;Allegheny Technologies Inc;ATI
13.12.10;Compellent Technologies Inc;CML^B11;Dell Inc;DELL.O^J13
13.12.10;Dionex Corp;DNEX.O^E11;Thermo Fisher Scientific Inc;TMO
17.12.10;Citadel Broadcasting Corp;CDL_w^F07;Cumulus Media Inc;CMLS.PK
20.12.10;Applied Signal Technology Inc;APSG.O^B11;Raytheon Co;RTN^D20
31.12.10;Universal American Corp;UAM^D17;CVS Health Corp;CVS
10.01.11;Progress Energy Inc;PGN^G12;Duke Energy Corp;DUK
11.01.11;Consolidated Thompson Iron Mines Ltd;CLMdbu.TO^E11;Cliffs Natural Resources Inc;CLF
23.01.11;Smurfit-Stone Container Corp;SSCC.K^E11;Rock-Tenn Co;RKT^G15
26.01.11;ProLogis;PLD^F11;Amb Property Corp;AMB_pa^G03
03.02.11;Fronteer Gold Inc;FRG.TO^D11;Newmont Mining Corp;NEM
07.02.11;Beckman Coulter Inc;BEC.N^F11;Danaher Corp;DHR
08.02.11;RehabCare Group Inc;RHB^F11;Kindred Healthcare Inc;KND^G18
28.02.11;Nationwide Health Properties Inc;NHP^G11;Ventas Inc;VTR
13.03.11;K-Sea Transportation Partners LP;KSP^G11;Kirby Corp;KEX
14.03.11;Lubrizol Corp;LZ^I11;Berkshire Hathaway Inc;BRKa
21.03.11;optionsXpress Holdings Inc;OXPS.O^I11;Charles Schwab Corp;SCHW.K
11.04.11;Global Crossing Ltd;GLBC.OQ^J11;Level 3 Communications Inc;LVLT.K^K17
18.04.11;Synthes Inc;SYST.VX^F12;Johnson & Johnson;JNJ
20.04.11;DPL Inc;DPL^K11;AES Corp;AES
28.04.11;Constellation Energy Group Inc;CEG^C12;Exelon Corp;EXC.O
10.05.11;CKx Inc;CKXE.O^F11;Apollo Global Management LLC;APO
06.06.11;Temple-Inland Inc;TIN^B12;International Paper Co;IP
13.06.11;EMS Technologies Inc;ELMG.O^H11;Honeywell International Inc;HON.O
20.06.11;Capital Power Income LP;CPA_u.TO^K11;Atlantic Power Corp;ATPdbe.TO^E21
05.07.11;Ameron International Corp;AMN^J11;National Oilwell Varco Inc;NOV_w^F14
20.07.11;Zarlink Semiconductor Inc;ZLdb.TO^J11;Microsemi Corp;MSCCn.BCU
20.07.11;Nalco Holding Co;NLC^L11;Ecolab Inc;ECL
21.07.11;Medco Health Solutions Inc;MHS^D12;Express Scripts Inc;ESRX.O^L18
26.07.11;S1 Corp;SONE.O^B12;ACI Worldwide Inc;ACIW.O
15.08.11;Motorola Mobility Holdings Inc;MMI^E12;Google Inc;GOOG.O
21.09.11;Goodrich Corp;GR^G12;United Technologies Corp;UTX_pa^H15
16.10.11;El Paso Corp;EP^E12;Kinder Morgan Inc;KMI
21.11.11;Transatlantic Holdings Inc;TRH^C12;Alleghany Corp;Y^J22
30.11.11;Magma Design Automation Inc;LAVA.O^B12;Synopsys Inc;SNPS.O
14.12.11;Novellus Systems Inc;NVLS.O^F12;Lam Research Corp;LRCX.O
16.12.11;RSC Holdings Inc;RRR^E12;United Rentals Inc;URI
07.01.12;Inhibitex Inc;INHX.O^B12;Bristol-Myers Squibb Co;BMY
27.01.12;Solutia Inc;SOA^G12;Eastman Chemical Co;EMN
09.02.12;Taleo Corp;TLEO.O^D12;Oracle Corp;ORCL.K
20.02.12;Flint Energy Services Ltd;FES.TO^E12;URS Corp;URS^J14
08.03.12;Neo Material Technologies Inc;NEMdbu.TO^F12;Molycorp Inc;MCP.N^F15
25.04.12;GeoResources Inc;GEOI.O^H12;Halcon Resources Corp;HK.N^G19
30.04.12;Gen-Probe Inc;GPRO.O^H12;Hologic Inc;HOLX.O
30.04.12;Sunoco Inc;SUN^J12;Energy Transfer Partners LP;ETP^D17
02.05.12;Standard Microsystems Corp;SMSC.O^H12;Microchip Technology Inc;MCHP.O
09.05.12;Cost Plus Inc;CPWM.O^G12;Bed Bath & Beyond Inc;BBBYn.BCU
01.06.12;Hughes Telematics Inc;HUTC.OB^G12;Verizon Communications Inc;VZ
29.06.12;Amylin Pharmaceuticals Inc;AMLN.OQ^H12;Bristol-Myers Squibb Co;BMY
02.07.12;Quest Software Inc;QSFT.O^J12;Dell Inc;DELL.O^J13
02.07.12;Brightpoint Inc;CELL.O^J12;Ingram Micro Inc;IM^L16
09.07.12;FX Alliance Inc;FX.N^H12;Thomson Reuters Corp;TRI.TO
22.07.12;GenOn Energy Inc;GEN^L12;NRG Energy Inc;NRG
23.07.12;RailAmerica Inc;RA^J12;Genesee & Wyoming Inc;GWR^L19
30.07.12;The Shaw Group Inc;SHAW.K^B13;Chicago Bridge & Iron Co NV;CBI^E18
09.08.12;Robbins & Myers Inc;RBN^B13;National Oilwell Varco Inc;NOV_w^F14
13.08.12;Comverse Technology Inc;CMVT.O^B13;Verint Systems Inc;VRNT.O
20.08.12;Coventry Health Care Inc;CVH^E13;Aetna Inc;AET^K18
22.08.12;Sunrise Senior Living Inc;SRZ^A13;Health Care REIT Inc;HCN_pb^G03
27.08.12;Kenexa Corp;KNXA.K^L12;International Business Machines Corp;IBM
27.08.12;Hudson City Bancorp Inc;HCBK.O^K15;M&T Bank Corp;MTB
06.09.12;American Realty Capital Trust Inc;ARCT.O^A13;Realty Income Corp;O
13.09.12;Citizens Republic Bancorp Inc, Flint,Michigan;CRBC.O^D13;FirstMerit Corp;FMER.O^H16
26.09.12;West Coast Bancorp;WCBO.O^D13;Columbia Banking System Inc;COLB.O
01.10.12;Ceradyne Inc;CRDN.O^K12;3M Co;MMM
25.10.12;PSS World Medical Inc;PSSI.O^B13;McKesson Corp;MCK
29.10.12;OPNET Technologies Inc;OPNT.O^L12;Riverbed Technology Inc;RVBD.O^D15
31.10.12;Warnaco Group Inc;WRC^B13;PVH Corp;PVH
05.11.12;Metropolitan Health Networks Inc;MDF^L12;Humana Inc;HUM
05.11.12;KBW Inc;KBW^B13;Stifel Financial Corp;SF
08.11.12;KAYAK Software Corp;KYAK.O^E13;The Priceline Group Inc;PCLNL.PK^B11
14.11.12;Teavana Holdings Inc;TEA^A13;Starbucks Corp;SBUX.O
27.11.12;Ralcorp Holdings Inc;RAH^A13;ConAgra Foods Inc;CAG
05.12.12;Plains Exploration & Production Co;PXP^E13;Freeport-McMoRan Copper & Gold Inc;FCX
09.12.12;Intermec Inc;IN^I13;Honeywell International Inc;HON.O
19.12.12;Alterra Capital Holdings Ltd;ALTE.O^E13;Markel Corp;MKL
20.12.12;Eloqua Inc;ELOQ.O^B13;Oracle Corp;ORCL.K
02.01.13;Zipcar Inc;ZIP.O^C13;Avis Budget Group Inc;CAR.O
17.01.13;Trauson Holdings Co Ltd;0325.HK^G13;Stryker Corp;SYK
22.01.13;MAP Pharmaceuticals Inc;MAPP.O^C13;Allergan Inc;AGN^C15
29.01.13;Copano Energy LLC;CPNO.O^E13;Kinder Morgan Energy Partners LP;KMP^K14
04.02.13;Acme Packet Inc;APKT.O^D13;Oracle Corp;ORCL.K
06.02.13;Metals USA Holdings Corp;MUSA.K^D13;Reliance Steel & Aluminum Co;RS
19.02.13;NetSpend Holdings Inc;NTSP.O^G13;Total System Services Inc;TSS^I19
04.03.13;Aurizon Mines Ltd;ARZ.TO^F13;Hecla Mining Co;HL
08.04.13;Lufkin Industries Inc;LUFK.O^G13;General Electric Co;GE
15.04.13;Life Technologies Corp;LIFE.O^B14;Thermo Fisher Scientific Inc;TMO
29.05.13;Stewart Enterprises Inc;STEI.O^L13;Service Corp International;SCI
03.06.13;Colonial Properties Trust Inc;CLP^J13;Mid-America Apartment Communities Inc;MAA
04.06.13;ExactTarget Inc;ET^G13;Salesforce.com Inc;CRM
06.06.13;New Young Broadcasting Holding Co Inc;NYBH.PQ^I13;Media General Inc;MEG^A17
24.06.13;Vanguard Health Systems Inc;VHS^J13;Tenet Healthcare Corp;THC
30.06.13;Onyx Pharmaceuticals Inc;ONXX.O^J13;Amgen Inc;AMGN.O
09.07.13;Harris Teeter Supermarkets Inc;HTSI.K^A14;Kroger Co;KR
12.07.13;Leap Wireless International Inc;LEAP.O^C14;AT&T Inc;T
15.07.13;Taylor Capital Group Inc;TAYC.O^H14;MB Financial Inc;MBFI.O^C19
16.07.13;SHFL entertainment Inc;SHFL.O^K13;Bally Technologies Inc;BYI^K14
23.07.13;Sourcefire Inc;FIRE.O^J13;Cisco Systems Inc;CSCO.O
24.07.13;Maidenform Brands Inc;MFB^J13;Hanesbrands Inc;HBI
30.07.13;Optimer Pharmaceuticals Inc;OPTR.O^J13;Cubist Pharmaceuticals Inc;CBST.O^A15
30.07.13;Health Management Associates Inc;HMA^A14;Community Health Systems Inc;CYH
30.07.13;Trius Therapeutics Inc;TSRX.O^I13;Cubist Pharmaceuticals Inc;CBST.O^A15
15.08.13;Volterra Semiconductor Corp;VLTR.O^J13;Maxim Integrated Products Inc;MXIMvi.TPRM
27.08.13;Hi-Tech Pharmacal Co Inc;HITK.O^D14;Akorn Inc;AKRXn.BCU
05.09.13;Thomas Properties Group Inc;TPGI.K^L13;Parkway Properties Inc;PKY.N^J16
16.09.13;Boise Inc;BZ^J13;Packaging Corp of America;PKG
25.09.13;MAKO Surgical Corp;MAKO.O^L13;Stryker Corp;SYK
10.10.13;PVR Partners LP;PVR^C14;Regency Energy Partners LP;RGP^D15
07.11.13;Santarus Inc;SNTS.O^A14;Salix Pharmaceuticals Ltd;SLXP.O^D15
26.11.13;Jos A Bank Clothiers Inc;JOSB.O^F14;The Men's Wearhouse Inc;MW^B16
09.12.13;BRE Properties Inc;BRE^D14;Essex Property Trust Inc;ESS
20.12.13;Responsys Inc;MKTG.O^B14;Oracle Corp;ORCL.K
06.01.14;Stream Global Services Inc;SGS^D12;Convergys Corp;CVG^J18
16.01.14;CEC Entertainment Inc;CEC^B14;Apollo Global Management LLC;APO
28.01.14;Texas Industries Inc;TXI^G14;Martin Marietta Materials Inc;MLM
04.02.14;ATMI Inc;ATMI.O^E14;Entegris Inc;ENTG.O
10.02.14;Inland Diversified Real Estate Trust Inc;;Kite Realty Group Trust;KRG
14.02.14;Amcol International Corp;ACO^E14;Minerals Technologies Inc;MTX
20.02.14;Emeritus Corp;ESC^G14;Brookdale Senior Living Inc;BKD
24.02.14;TriQuint Semiconductor Inc;TQNT.O^A15;RF Micro Devices Inc;RFMD.O^A15
17.03.14;Schawk Inc;SGK^G14;Matthews International Corp;MATW.O
28.04.14;Furiex Pharmaceuticals Inc;FURX.O^G14;Forest Laboratories Inc;FRX^G14
28.04.14;Susser Holdings Corp;SUSS.K^H14;Energy Transfer Partners LP;ETP^D17
29.04.14;Orbital Sciences Corp;ORB^B15;Alliant Techsystems Inc;ATKIL.PK^C11
30.04.14;Pepco Holdings Inc;POM^C16;Exelon Corp;EXC.O
15.05.14;Gentiva Health Services Inc;GTIV.O^B15;Kindred Healthcare Inc;KND^G18
18.05.14;DirecTV Inc;DTV.O^G15;AT&T Inc;T
29.05.14;Hillshire Brands Co;HSH^H14;Tyson Foods Inc;TSN
02.06.14;American Realty Capital Healthcare Trust Inc;HCT.O^A15;Ventas Inc;VTR
09.06.14;Hittite Microwave Corp;HITT.O^G14;Analog Devices Inc;ADI.O
09.06.14;Idenix Pharmaceuticals Inc;IDIX.O^H14;Merck & Co Inc;MRK
13.06.14;OpenTable Inc;OPEN.O^G14;The Priceline Group Inc;PCLNL.PK^B11
16.06.14;tw telecom inc;TWTC.O^K14;Level 3 Communications Inc;LVLT.K^K17
16.06.14;Fusion-io Inc;FIO^G14;SanDisk Corp;SNDK.O
23.06.14;MICROS Systems Inc;MCRS.O^I14;Oracle Corp;ORCL.K
11.07.14;Lorillard Inc;LO^F15;Reynolds American Inc;RAI^G17
13.07.14;URS Corp;URS^J14;AECOM Technology Corp;ACM
13.07.14;Kodiak Oil & Gas Corp;KOG^L14;Whiting Petroleum Corp;WLL^G22
15.07.14;Rockwood Holdings Inc;ROC^A15;Albemarle Corp;ALB
28.07.14;Family Dollar Stores Inc;FDO^G15;Dollar Tree Inc;DLTR.O
10.08.14;Kinder Morgan Management LLC;KMR^K14;Kinder Morgan Inc;KMI
08.09.14;Annies Inc;BNNY.K^J14;General Mills Inc;GIS
11.09.14;Taminco Corp;TAM^L14;Eastman Chemical Co;EMN
05.10.14;CareFusion Corp;CFN^C15;Becton Dickinson & Co;BDX
13.10.14;Synergy Health PLC;SYR.L^K15;STERIS Corp;STE^K15
13.10.14;Atlas Pipeline Partners LP;APL^C15;Targa Resources Partners LP;NGLS.K^B16
13.10.14;Atlas Energy LP;ATLS.K^B15;Targa Resources Corp;TRGP.K
29.10.14;Ormat Industries Ltd;ORMT.TA^B15;Ormat Technologies Inc;ORA
31.10.14;Aviv REIT Inc;AVIV.K^D15;Omega Healthcare Investors Inc;OHI
03.11.14;Covance Inc;CVD^B15;Labcorp Holdings Inc;LH_w^G23
12.11.14;Susquehanna Bancshares Inc;SUSQ.O^H15;BB&T Corp;BBT_pe^I19
24.11.14;Prosensa Holding BV;RNA.O^B15;BioMarin Pharmaceutical Inc;BMRN.O
01.12.14;Spansion Inc;CODE.K^C15;Cypress Semiconductor Corp;CYn.BCU
08.12.14;Cubist Pharmaceuticals Inc;CBST.O^A15;Merck & Co Inc;MRK
22.12.14;Caesars Acquisition Co;CACQ.O^J17;Caesars Entertainment Corp;CZRn.BCU
